Date,Workout,Exercise,Set,Reps,Weight (lbs),Raw,Exercise_Normalized,Exercise_Canonical
2025-05-03,Shoulders/Arms,Cable rotation,2,12,45,,Cable Rotation,
2025-05-03,Shoulders/Arms,Cable rotation,3,12,50,,Cable Rotation,
2025-05-03,Shoulders/Arms,DB Lateral Raises,1,8,30,,Dumbbell Lateral Raises,
2025-05-03,Shoulders/Arms,DB Lateral Raises,2,8,35,,Dumbbell Lateral Raises,
2025-05-03,Shoulders/Arms,DB Lateral Raises,3,8,40,,Dumbbell Lateral Raises,
2025-05-03,Shoulders/Arms,Incline Dumbbell Bicep Curl,1,8,35,,Incline Dumbbell Bicep Curl,
2025-05-03,Shoulders/Arms,Incline Dumbbell Bicep Curl,2,8,40,,Incline Dumbbell Bicep Curl,
2025-05-03,Shoulders/Arms,Incline machine chest press (captioned),1,8,120,,Incline Machine Chest Press,
2025-05-03,Shoulders/Arms,Incline machine chest press (captioned),2,8,125,,Incline Machine Chest Press,
2025-05-03,Shoulders/Arms,Machine preacher curl,1,10,75,,Machine Preacher Curl,
2025-05-03,Shoulders/Arms,Machine preacher curl,2,10,80,,Machine Preacher Curl,
2025-05-03,Shoulders/Arms,Machine Rear Delt Fly,1,12,40,,Machine Rear Delt Fly,
2025-05-03,Shoulders/Arms,Machine Rear Delt Fly,2,12,45,,Machine Rear Delt Fly,
2025-05-03,Shoulders/Arms,Machine Rear Delt Fly,3,12,50,,Machine Rear Delt Fly,
2025-05-03,Shoulders/Arms,Single arm cable tricep pushdown,1,12,20,,Single Arm Cable Tricep Pushdown,
2025-05-03,Shoulders/Arms,Single arm cable tricep pushdown,2,12,25,,Single Arm Cable Tricep Pushdown,
2025-05-03,Shoulders/Arms,Smith machine shoulder press,1,8,115,,Smith Machine Shoulder Press,
2025-05-03,Shoulders/Arms,Smith machine shoulder press,2,8,125,,Smith Machine Shoulder Press,
2025-05-03,Shoulders/Arms,Smith machine shoulder press,3,8,115,,Smith Machine Shoulder Press,
2025-05-03,Shoulders/Arms,Smith machine shoulder press,4,8,125,,Smith Machine Shoulder Press,
2025-05-03,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),1,8,340,,Tricep Dip Machine,
2025-05-03,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),2,8,345,,Tricep Dip Machine,
2025-05-03,Shoulders/Arms,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-03,Shoulders/Arms,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-05,Legs 1,Lying Hamstring curl,1,10,105,,Lying Hamstring Curl,
2025-05-05,Legs 1,Lying Hamstring curl,2,10,110,,Lying Hamstring Curl,
2025-05-05,Legs 1,Lying Hamstring curl,3,8,115,,Lying Hamstring Curl,
2025-05-05,Legs 1,Plate Loaded Leg Press (45 degree),1,10,375,,Plate Loaded Leg Press,
2025-05-05,Legs 1,Plate Loaded Leg Press (45 degree),2,10,380,,Plate Loaded Leg Press,
2025-05-05,Legs 1,Single Arm KB walk (obliques),1,10,80,,Single Arm Kb Walk,
2025-05-05,Legs 1,Single Arm KB walk (obliques),2,10,85,,Single Arm Kb Walk,
2025-05-05,Legs 1,Single Arm KB walk (obliques),3,10,90,,Single Arm Kb Walk,
2025-05-05,Legs 1,Single Leg Extension,1,8,95,,Single Leg Extension,
2025-05-05,Legs 1,Single Leg Extension,2,8,100,,Single Leg Extension,
2025-05-05,Legs 1,Single Leg Extension,3,8,105,,Single Leg Extension,
2025-05-05,Legs 1,Single Leg RDL (bench supported),1,10,75,,Single Leg Romanian Deadlift,
2025-05-05,Legs 1,Single Leg RDL (bench supported),2,10,80,,Single Leg Romanian Deadlift,
2025-05-05,Legs 1,Smith machine calf-raise,1,12,240,,Smith Machine Calf Raise,
2025-05-05,Legs 1,Smith machine calf-raise,2,12,245,,Smith Machine Calf Raise,
2025-05-05,Legs 1,Smith machine calf-raise,3,12,250,,Smith Machine Calf Raise,
2025-05-05,Legs 1,Smith Machine Split Squat,1,8,155,,Smith Machine Split Squat,
2025-05-05,Legs 1,Smith Machine Split Squat,2,8,160,,Smith Machine Split Squat,
2025-05-05,Legs 1,Smith machine squat,1,8,170,,Smith Machine Squat,
2025-05-05,Legs 1,Smith machine squat,2,8,175,,Smith Machine Squat,
2025-05-05,Legs 1,Smith machine squat,3,8,180,,Smith Machine Squat,
2025-05-06,Push,Cable crunch,1,15,125,,Cable Crunch,
2025-05-06,Push,Cable crunch,2,15,130,,Cable Crunch,
2025-05-06,Push,Cable crunch,3,15,137,,Cable Crunch,
2025-05-06,Push,Egyptian Lateral Raise,1,12,25,,Egyptian Lateral Raise,
2025-05-06,Push,Egyptian Lateral Raise,2,12,30,,Egyptian Lateral Raise,
2025-05-06,Push,Egyptian Lateral Raise,3,12,35,,Egyptian Lateral Raise,
2025-05-06,Push,Incline Smith Machine Bench,1,8,135,,Incline Smith Machine Bench,
2025-05-06,Push,Incline Smith Machine Bench,2,8,140,,Incline Smith Machine Bench,
2025-05-06,Push,Incline Smith Machine Bench,3,8,145,,Incline Smith Machine Bench,
2025-05-06,Push,Machine chest fly,1,12,55,,Machine Chest Fly,
2025-05-06,Push,Machine chest fly,2,12,60,,Machine Chest Fly,
2025-05-06,Push,Machine chest fly,3,8,65,,Machine Chest Fly,
2025-05-06,Push,Machine Chest Press,1,10,125,,Machine Chest Press,
2025-05-06,Push,Machine Chest Press,2,10,130,,Machine Chest Press,
2025-05-06,Push,Machine Chest Press,3,10,135,,Machine Chest Press,
2025-05-06,Push,Seated overhead cable tricep extension,1,8,50,,Seated Overhead Cable Tricep Extension,
2025-05-06,Push,Seated overhead cable tricep extension,2,8,55,,Seated Overhead Cable Tricep Extension,
2025-05-06,Push,Seated overhead cable tricep extension,3,8,60,,Seated Overhead Cable Tricep Extension,
2025-05-06,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-06,Push,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-08,Leg Day 2,Cable crunch,1,15,130,,Cable Crunch,
2025-05-08,Leg Day 2,Cable crunch,2,15,135,,Cable Crunch,
2025-05-08,Leg Day 2,Cable crunch,3,15,140,,Cable Crunch,
2025-05-08,Leg Day 2,Glute biased extension,1,10,90,,Glute Biased Extension,
2025-05-08,Leg Day 2,Glute biased extension,2,10,100,,Glute Biased Extension,
2025-05-08,Leg Day 2,Glute biased extension,3,12,100,,Glute Biased Extension,
2025-05-08,Leg Day 2,Hip ADDuction,1,9,105,,Hip Adduction,
2025-05-08,Leg Day 2,Hip ADDuction,2,9,110,,Hip Adduction,
2025-05-08,Leg Day 2,Hip ADDuction,3,9,115,,Hip Adduction,
2025-05-08,Leg Day 2,Hip Thrust,1,8,240,,Hip Thrust,
2025-05-08,Leg Day 2,Hip Thrust,2,8,245,,Hip Thrust,
2025-05-08,Leg Day 2,Hip Thrust,3,8,250,,Hip Thrust,
2025-05-08,Leg Day 2,Leg extension,1,10,180,,Leg Extension,
2025-05-08,Leg Day 2,Leg extension,2,10,185,,Leg Extension,
2025-05-08,Leg Day 2,Machine Calf Raise (Gastroc),1,15,330,,Machine Calf Raise,
2025-05-08,Leg Day 2,Machine Calf Raise (Gastroc),2,15,335,,Machine Calf Raise,
2025-05-08,Leg Day 2,Machine Calf Raise (Gastroc),3,15,340,,Machine Calf Raise,
2025-05-08,Leg Day 2,Machine Hip Abduction (single leg),1,10,100,,Machine Hip Abduction,
2025-05-08,Leg Day 2,Machine Hip Abduction (single leg),2,10,105,,Machine Hip Abduction,
2025-05-08,Leg Day 2,Machine Hip Abduction (single leg),3,10,110,,Machine Hip Abduction,
2025-05-08,Leg Day 2,Seated hamstring curl,1,10,140,,Seated Hamstring Curl,
2025-05-08,Leg Day 2,Seated hamstring curl,2,10,145,,Seated Hamstring Curl,
2025-05-08,Leg Day 2,Smith machine RDL,1,8,255,,Smith Machine Rdl,
2025-05-08,Leg Day 2,Smith machine RDL,2,8,260,,Smith Machine Rdl,
2025-05-08,Leg Day 2,Smith machine RDL,3,8,265,,Smith Machine Rdl,
2025-05-09,Pull Day,Bayesian Biceps cable curl,1,12,25,,Bayesian Biceps Cable Curl,
2025-05-09,Pull Day,Bayesian Biceps cable curl,2,12,30,,Bayesian Biceps Cable Curl,
2025-05-09,Pull Day,Bench supported Hi-Lo Cable Row,1,10,50,,Bench Supported Hi Lo Cable Row,
2025-05-09,Pull Day,Bench supported Hi-Lo Cable Row,2,10,55,,Bench Supported Hi Lo Cable Row,
2025-05-09,Pull Day,Bench supported Hi-Lo Cable Row,3,10,60,,Bench Supported Hi Lo Cable Row,
2025-05-09,Pull Day,Cable pull-over,1,12,45,,Cable Pull-over,
2025-05-09,Pull Day,Cable pull-over,2,12,50,,Cable Pull-over,
2025-05-09,Pull Day,Cable pull-over,3,12,55,,Cable Pull-over,
2025-05-09,Pull Day,Chest Supported T-Bar Rows,1,8,50,,Chest Supported T-bar Rows,
2025-05-09,Pull Day,Chest Supported T-Bar Rows,2,8,60,,Chest Supported T-bar Rows,
2025-05-09,Pull Day,Chest Supported T-Bar Rows,3,8,75,,Chest Supported T-bar Rows,
2025-05-09,Pull Day,DB Hammer curls,1,8,60,,Dumbbell Hammer Curls,
2025-05-09,Pull Day,DB Hammer curls,2,8,60,,Dumbbell Hammer Curls,
2025-05-09,Pull Day,Seated Cable Facepull,1,12,60,,Seated Cable Facepull,
2025-05-09,Pull Day,Seated Cable Facepull,2,12,65,,Seated Cable Facepull,
2025-05-09,Pull Day,Side Crunch (on Roman Chair),1,10,35,,Side Crunch,
2025-05-09,Pull Day,Side Crunch (on Roman Chair),2,10,40,,Side Crunch,
2025-05-09,Pull Day,Side Crunch (on Roman Chair),3,10,45,,Side Crunch,
2025-05-10,Shoulders/Arms,Cable rotation,1,12,45,,Cable Rotation,
2025-05-10,Shoulders/Arms,Cable rotation,2,12,50,,Cable Rotation,
2025-05-10,Shoulders/Arms,Cable rotation,3,12,55,,Cable Rotation,
2025-05-10,Shoulders/Arms,DB Lateral Raises,1,8,35,,Dumbbell Lateral Raises,
2025-05-10,Shoulders/Arms,DB Lateral Raises,2,8,40,,Dumbbell Lateral Raises,
2025-05-10,Shoulders/Arms,DB Lateral Raises,3,8,40,,Dumbbell Lateral Raises,
2025-05-10,Shoulders/Arms,Incline Dumbbell Bicep Curl,1,8,35,,Incline Dumbbell Bicep Curl,
2025-05-10,Shoulders/Arms,Incline Dumbbell Bicep Curl,2,8,35,,Incline Dumbbell Bicep Curl,
2025-05-10,Shoulders/Arms,Incline machine chest press (captioned),1,10,120,,Incline Machine Chest Press,
2025-05-10,Shoulders/Arms,Incline machine chest press (captioned),2,10,125,,Incline Machine Chest Press,
2025-05-10,Shoulders/Arms,Machine preacher curl,1,12,75,,Machine Preacher Curl,
2025-05-10,Shoulders/Arms,Machine preacher curl,2,11,80,,Machine Preacher Curl,
2025-05-10,Shoulders/Arms,Machine Rear Delt Fly,1,12,45,,Machine Rear Delt Fly,
2025-05-10,Shoulders/Arms,Machine Rear Delt Fly,2,12,45,,Machine Rear Delt Fly,
2025-05-10,Shoulders/Arms,Machine Rear Delt Fly,3,12,50,,Machine Rear Delt Fly,
2025-05-10,Shoulders/Arms,Single arm cable tricep pushdown,1,12,20,,Single Arm Cable Tricep Pushdown,
2025-05-10,Shoulders/Arms,Single arm cable tricep pushdown,2,12,25,,Single Arm Cable Tricep Pushdown,
2025-05-10,Shoulders/Arms,Smith machine shoulder press,1,8,135,,Smith Machine Shoulder Press,
2025-05-10,Shoulders/Arms,Smith machine shoulder press,2,8,140,,Smith Machine Shoulder Press,
2025-05-10,Shoulders/Arms,Smith machine shoulder press,3,8,140,,Smith Machine Shoulder Press,
2025-05-10,Shoulders/Arms,Smith machine shoulder press,4,8,145,,Smith Machine Shoulder Press,
2025-05-10,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),1,8,345,,Tricep Dip Machine,
2025-05-10,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),2,8,350,,Tricep Dip Machine,
2025-05-10,Shoulders/Arms,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-10,Shoulders/Arms,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-12,Legs 1,Lying Hamstring curl,1,10,80,,Lying Hamstring Curl,
2025-05-12,Legs 1,Lying Hamstring curl,2,10,85,,Lying Hamstring Curl,
2025-05-12,Legs 1,Lying Hamstring curl,3,10,90,,Lying Hamstring Curl,
2025-05-12,Legs 1,Plate Loaded Leg Press (45 degree),1,10,380,,Plate Loaded Leg Press,
2025-05-12,Legs 1,Plate Loaded Leg Press (45 degree),2,10,385,,Plate Loaded Leg Press,
2025-05-12,Legs 1,Single Arm KB walk (obliques),1,10,80,,Single Arm Kb Walk,
2025-05-12,Legs 1,Single Arm KB walk (obliques),2,10,85,,Single Arm Kb Walk,
2025-05-12,Legs 1,Single Arm KB walk (obliques),3,10,90,,Single Arm Kb Walk,
2025-05-12,Legs 1,Single Leg Extension,1,8,80,,Single Leg Extension,
2025-05-12,Legs 1,Single Leg Extension,2,8,85,,Single Leg Extension,
2025-05-12,Legs 1,Single Leg Extension,3,8,90,,Single Leg Extension,
2025-05-12,Legs 1,Single Leg RDL (bench supported),1,10,80,,Single Leg Romanian Deadlift,
2025-05-12,Legs 1,Single Leg RDL (bench supported),2,10,85,,Single Leg Romanian Deadlift,
2025-05-12,Legs 1,Smith machine calf-raise,1,12,245,,Smith Machine Calf Raise,
2025-05-12,Legs 1,Smith machine calf-raise,2,12,250,,Smith Machine Calf Raise,
2025-05-12,Legs 1,Smith machine calf-raise,3,12,255,,Smith Machine Calf Raise,
2025-05-12,Legs 1,Smith Machine Split Squat,1,8,165,,Smith Machine Split Squat,
2025-05-12,Legs 1,Smith Machine Split Squat,2,8,170,,Smith Machine Split Squat,
2025-05-12,Legs 1,Smith machine squat,1,8,175,,Smith Machine Squat,
2025-05-12,Legs 1,Smith machine squat,2,8,180,,Smith Machine Squat,
2025-05-12,Legs 1,Smith machine squat,3,8,185,,Smith Machine Squat,
2025-05-13,Push,Cable crunch,1,15,130,,Cable Crunch,
2025-05-13,Push,Cable crunch,2,15,135,,Cable Crunch,
2025-05-13,Push,Cable crunch,3,15,140,,Cable Crunch,
2025-05-13,Push,Egyptian Lateral Raise,1,10,30,,Egyptian Lateral Raise,
2025-05-13,Push,Egyptian Lateral Raise,2,10,35,,Egyptian Lateral Raise,
2025-05-13,Push,Egyptian Lateral Raise,3,10,40,,Egyptian Lateral Raise,
2025-05-13,Push,Incline Smith Machine Bench,1,8,140,,Incline Smith Machine Bench,
2025-05-13,Push,Incline Smith Machine Bench,2,8,145,,Incline Smith Machine Bench,
2025-05-13,Push,Incline Smith Machine Bench,3,8,150,,Incline Smith Machine Bench,
2025-05-13,Push,Machine chest fly,1,12,55,,Machine Chest Fly,
2025-05-13,Push,Machine chest fly,2,12,60,,Machine Chest Fly,
2025-05-13,Push,Machine chest fly,3,8,65,,Machine Chest Fly,
2025-05-13,Push,Machine Chest Press,1,8,130,,Machine Chest Press,
2025-05-13,Push,Machine Chest Press,2,8,135,,Machine Chest Press,
2025-05-13,Push,Machine Chest Press,3,8,140,,Machine Chest Press,
2025-05-13,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-13,Push,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-15,Leg Day 2,Cable crunch,1,15,140,,Cable Crunch,
2025-05-15,Leg Day 2,Cable crunch,2,15,145,,Cable Crunch,
2025-05-15,Leg Day 2,Cable crunch,3,15,150,,Cable Crunch,
2025-05-15,Leg Day 2,Glute biased extension,1,10,125,,Glute Biased Extension,
2025-05-15,Leg Day 2,Glute biased extension,2,12,140,,Glute Biased Extension,
2025-05-15,Leg Day 2,Glute biased extension,3,12,140,,Glute Biased Extension,
2025-05-15,Leg Day 2,Hip ADDuction,1,10,105,,Hip Adduction,
2025-05-15,Leg Day 2,Hip ADDuction,2,10,110,,Hip Adduction,
2025-05-15,Leg Day 2,Hip ADDuction,3,9,115,,Hip Adduction,
2025-05-15,Leg Day 2,Hip Thrust,1,8,240,,Hip Thrust,
2025-05-15,Leg Day 2,Hip Thrust,2,8,245,,Hip Thrust,
2025-05-15,Leg Day 2,Hip Thrust,3,9,250,,Hip Thrust,
2025-05-15,Leg Day 2,Leg extension,1,8,190,,Leg Extension,
2025-05-15,Leg Day 2,Leg extension,2,8,195,,Leg Extension,
2025-05-15,Leg Day 2,Machine Calf Raise (Gastroc),1,15,335,,Machine Calf Raise,
2025-05-15,Leg Day 2,Machine Calf Raise (Gastroc),2,15,340,,Machine Calf Raise,
2025-05-15,Leg Day 2,Machine Calf Raise (Gastroc),3,15,345,,Machine Calf Raise,
2025-05-15,Leg Day 2,Machine Hip Abduction (single leg),1,10,105,,Machine Hip Abduction,
2025-05-15,Leg Day 2,Machine Hip Abduction (single leg),2,10,110,,Machine Hip Abduction,
2025-05-15,Leg Day 2,Machine Hip Abduction (single leg),3,10,115,,Machine Hip Abduction,
2025-05-15,Leg Day 2,Seated hamstring curl,1,8,145,,Seated Hamstring Curl,
2025-05-15,Leg Day 2,Seated hamstring curl,2,8,150,,Seated Hamstring Curl,
2025-05-15,Leg Day 2,Smith machine RDL,1,8,260,,Smith Machine Rdl,
2025-05-15,Leg Day 2,Smith machine RDL,2,8,265,,Smith Machine Rdl,
2025-05-15,Leg Day 2,Smith machine RDL,3,8,270,,Smith Machine Rdl,
2025-05-16,Pull Day,Bayesian Biceps cable curl,1,10,35,,Bayesian Biceps Cable Curl,
2025-05-16,Pull Day,Bayesian Biceps cable curl,2,10,35,,Bayesian Biceps Cable Curl,
2025-05-16,Pull Day,Bench supported Hi-Lo Cable Row,1,10,35,,Bench Supported Hi Lo Cable Row,
2025-05-16,Pull Day,Bench supported Hi-Lo Cable Row,2,10,40,,Bench Supported Hi Lo Cable Row,
2025-05-16,Pull Day,Bench supported Hi-Lo Cable Row,3,10,45,,Bench Supported Hi Lo Cable Row,
2025-05-16,Pull Day,Cable pull-over,1,12,50,,Cable Pull-over,
2025-05-16,Pull Day,Cable pull-over,2,12,55,,Cable Pull-over,
2025-05-16,Pull Day,Cable pull-over,3,12,60,,Cable Pull-over,
2025-05-16,Pull Day,Chest Supported T-Bar Rows,1,8,70,,Chest Supported T-bar Rows,
2025-05-16,Pull Day,Chest Supported T-Bar Rows,2,8,80,,Chest Supported T-bar Rows,
2025-05-16,Pull Day,Chest Supported T-Bar Rows,3,8,90,,Chest Supported T-bar Rows,
2025-05-16,Pull Day,DB Hammer curls,1,8,65,,Dumbbell Hammer Curls,
2025-05-16,Pull Day,DB Hammer curls,2,8,70,,Dumbbell Hammer Curls,
2025-05-16,Pull Day,Seated Cable Facepull,1,12,65,,Seated Cable Facepull,
2025-05-16,Pull Day,Seated Cable Facepull,2,12,70,,Seated Cable Facepull,
2025-05-16,Pull Day,Side Crunch (on Roman Chair),1,10,40,,Side Crunch,
2025-05-16,Pull Day,Side Crunch (on Roman Chair),2,10,45,,Side Crunch,
2025-05-16,Pull Day,Side Crunch (on Roman Chair),3,10,50,,Side Crunch,
2025-05-17,Shoulders/Arms,Cable rotation,1,12,40,,Cable Rotation,
2025-05-17,Shoulders/Arms,Cable rotation,2,12,45,,Cable Rotation,
2025-05-17,Shoulders/Arms,Cable rotation,3,12,50,,Cable Rotation,
2025-05-17,Shoulders/Arms,DB Lateral Raises,1,8,35,,Dumbbell Lateral Raises,
2025-05-17,Shoulders/Arms,DB Lateral Raises,2,8,40,,Dumbbell Lateral Raises,
2025-05-17,Shoulders/Arms,DB Lateral Raises,3,9,40,,Dumbbell Lateral Raises,
2025-05-17,Shoulders/Arms,Incline Dumbbell Bicep Curl,1,8,35,,Incline Dumbbell Bicep Curl,
2025-05-17,Shoulders/Arms,Incline Dumbbell Bicep Curl,2,6,40,,Incline Dumbbell Bicep Curl,
2025-05-17,Shoulders/Arms,Incline machine chest press (captioned),1,10,125,,Incline Machine Chest Press,
2025-05-17,Shoulders/Arms,Incline machine chest press (captioned),2,10,130,,Incline Machine Chest Press,
2025-05-17,Shoulders/Arms,Machine preacher curl,1,12,80,,Machine Preacher Curl,
2025-05-17,Shoulders/Arms,Machine preacher curl,2,8,85,,Machine Preacher Curl,
2025-05-17,Shoulders/Arms,Machine Rear Delt Fly,1,12,45,,Machine Rear Delt Fly,
2025-05-17,Shoulders/Arms,Machine Rear Delt Fly,2,12,50,,Machine Rear Delt Fly,
2025-05-17,Shoulders/Arms,Machine Rear Delt Fly,3,8,55,,Machine Rear Delt Fly,
2025-05-17,Shoulders/Arms,Single arm cable tricep pushdown,1,10,25,,Single Arm Cable Tricep Pushdown,
2025-05-17,Shoulders/Arms,Single arm cable tricep pushdown,2,10,25,,Single Arm Cable Tricep Pushdown,
2025-05-17,Shoulders/Arms,Smith machine shoulder press,1,8,140,,Smith Machine Shoulder Press,
2025-05-17,Shoulders/Arms,Smith machine shoulder press,2,7,145,,Smith Machine Shoulder Press,
2025-05-17,Shoulders/Arms,Smith machine shoulder press,3,8,140,,Smith Machine Shoulder Press,
2025-05-17,Shoulders/Arms,Smith machine shoulder press,4,7,145,,Smith Machine Shoulder Press,
2025-05-17,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),1,8,350,,Tricep Dip Machine,
2025-05-17,Shoulders/Arms,Tricep Dip Machine (Plate Loaded),2,8,355,,Tricep Dip Machine,
2025-05-17,Shoulders/Arms,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-17,Shoulders/Arms,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-19,Legs 1,Lying Hamstring curl,1,10,85,,Lying Hamstring Curl,
2025-05-19,Legs 1,Lying Hamstring curl,2,10,90,,Lying Hamstring Curl,
2025-05-19,Legs 1,Lying Hamstring curl,3,10,95,,Lying Hamstring Curl,
2025-05-19,Legs 1,Plate Loaded Leg Press (45 degree),1,10,385,,Plate Loaded Leg Press,
2025-05-19,Legs 1,Plate Loaded Leg Press (45 degree),2,10,390,,Plate Loaded Leg Press,
2025-05-19,Legs 1,Single Arm KB walk (obliques),1,10,85,,Single Arm Kb Walk,
2025-05-19,Legs 1,Single Arm KB walk (obliques),2,10,85,,Single Arm Kb Walk,
2025-05-19,Legs 1,Single Arm KB walk (obliques),3,10,85,,Single Arm Kb Walk,
2025-05-19,Legs 1,Single Leg Extension,1,8,85,,Single Leg Extension,
2025-05-19,Legs 1,Single Leg Extension,2,8,90,,Single Leg Extension,
2025-05-19,Legs 1,Single Leg Extension,3,8,95,,Single Leg Extension,
2025-05-19,Legs 1,Single Leg RDL (bench supported),1,10,85,,Single Leg Romanian Deadlift,
2025-05-19,Legs 1,Single Leg RDL (bench supported),2,10,90,,Single Leg Romanian Deadlift,
2025-05-19,Legs 1,Smith machine calf-raise,1,12,250,,Smith Machine Calf Raise,
2025-05-19,Legs 1,Smith machine calf-raise,2,12,255,,Smith Machine Calf Raise,
2025-05-19,Legs 1,Smith machine calf-raise,3,12,260,,Smith Machine Calf Raise,
2025-05-19,Legs 1,Smith Machine Split Squat,1,8,165,,Smith Machine Split Squat,
2025-05-19,Legs 1,Smith Machine Split Squat,2,8,170,,Smith Machine Split Squat,
2025-05-19,Legs 1,Smith machine squat,1,8,180,,Smith Machine Squat,
2025-05-19,Legs 1,Smith machine squat,2,8,185,,Smith Machine Squat,
2025-05-19,Legs 1,Smith machine squat,3,8,190,,Smith Machine Squat,
2025-05-20,Push,Cable crunch,1,15,135,,Cable Crunch,
2025-05-20,Push,Cable crunch,2,15,140,,Cable Crunch,
2025-05-20,Push,Cable crunch,3,12,145,,Cable Crunch,
2025-05-20,Push,Egyptian Lateral Raise,1,12,30,,Egyptian Lateral Raise,
2025-05-20,Push,Egyptian Lateral Raise,2,12,35,,Egyptian Lateral Raise,
2025-05-20,Push,Egyptian Lateral Raise,3,12,40,,Egyptian Lateral Raise,
2025-05-20,Push,Incline Smith Machine Bench,1,8,145,,Incline Smith Machine Bench,
2025-05-20,Push,Incline Smith Machine Bench,2,8,150,,Incline Smith Machine Bench,
2025-05-20,Push,Incline Smith Machine Bench,3,8,155,,Incline Smith Machine Bench,
2025-05-20,Push,Machine chest fly,1,14,55,,Machine Chest Fly,
2025-05-20,Push,Machine chest fly,2,10,60,,Machine Chest Fly,
2025-05-20,Push,Machine chest fly,3,8,65,,Machine Chest Fly,
2025-05-20,Push,Machine Chest Press,1,10,110,,Machine Chest Press,
2025-05-20,Push,Machine Chest Press,2,10,115,,Machine Chest Press,
2025-05-20,Push,Machine Chest Press,3,10,120,,Machine Chest Press,
2025-05-20,Push,Tricep overhead rope extension,1,8,60,,Tricep Overhead Rope Extension,
2025-05-20,Push,Tricep overhead rope extension,2,8,65,,Tricep Overhead Rope Extension,
2025-05-20,Push,Tricep overhead rope extension,3,6,70,,Tricep Overhead Rope Extension,
2025-05-20,Push,Upper body warmup,1,10,10,,Upper Body Warmup,
2025-05-20,Push,Upper body warmup,2,10,10,,Upper Body Warmup,
2025-05-22,Leg Day 2,Cable crunch,1,15,140,,Cable Crunch,
2025-05-22,Leg Day 2,Cable crunch,2,15,145,,Cable Crunch,
2025-05-22,Leg Day 2,Cable crunch,3,15,150,,Cable Crunch,
2025-05-22,Leg Day 2,Glute biased extension,1,10,170,,Glute Biased Extension,
2025-05-22,Leg Day 2,Glute biased extension,2,10,185,,Glute Biased Extension,
2025-05-22,Leg Day 2,Glute biased extension,3,10,200,,Glute Biased Extension,
2025-05-22,Leg Day 2,Hip ADDuction,1,8,110,,Hip Adduction,
2025-05-22,Leg Day 2,Hip ADDuction,2,8,115,,Hip Adduction,
2025-05-22,Leg Day 2,Hip ADDuction,3,8,120,,Hip Adduction,
2025-05-22,Leg Day 2,Hip Thrust,1,8,245,,Hip Thrust,
2025-05-22,Leg Day 2,Hip Thrust,2,8,250,,Hip Thrust,
2025-05-22,Leg Day 2,Hip Thrust,3,8,255,,Hip Thrust,
2025-05-22,Leg Day 2,Leg extension,1,8,195,,Leg Extension,
2025-05-22,Leg Day 2,Leg extension,2,8,200,,Leg Extension,
2025-05-22,Leg Day 2,Machine Calf Raise (Gastroc),1,15,340,,Machine Calf Raise,
2025-05-22,Leg Day 2,Machine Calf Raise (Gastroc),2,15,345,,Machine Calf Raise,
2025-05-22,Leg Day 2,Machine Calf Raise (Gastroc),3,15,350,,Machine Calf Raise,
2025-05-22,Leg Day 2,Machine Hip Abduction (single leg),1,10,110,,Machine Hip Abduction,
2025-05-22,Leg Day 2,Machine Hip Abduction (single leg),2,10,115,,Machine Hip Abduction,
2025-05-22,Leg Day 2,Machine Hip Abduction (single leg),3,10,120,,Machine Hip Abduction,
2025-05-22,Leg Day 2,Seated hamstring curl,1,8,145,,Seated Hamstring Curl,
2025-05-22,Leg Day 2,Seated hamstring curl,2,9,150,,Seated Hamstring Curl,
2025-05-22,Leg Day 2,Smith machine RDL,1,8,260,,Smith Machine Rdl,
2025-05-22,Leg Day 2,Smith machine RDL,2,8,265,,Smith Machine Rdl,
2025-05-22,Leg Day 2,Smith machine RDL,3,8,270,,Smith Machine Rdl,
2025-05-23,Pull Day,Bayesian Biceps cable curl,1,12,25,,Bayesian Biceps Cable Curl,
2025-05-23,Pull Day,Bayesian Biceps cable curl,2,12,25,,Bayesian Biceps Cable Curl,
2025-05-23,Pull Day,Bench supported Hi-Lo Cable Row,1,10,40,,Bench Supported Hi Lo Cable Row,
2025-05-23,Pull Day,Bench supported Hi-Lo Cable Row,2,10,45,,Bench Supported Hi Lo Cable Row,
2025-05-23,Pull Day,Bench supported Hi-Lo Cable Row,3,10,50,,Bench Supported Hi Lo Cable Row,
2025-05-23,Pull Day,Cable pull-over,1,12,50,,Cable Pull-over,
2025-05-23,Pull Day,Cable pull-over,2,12,55,,Cable Pull-over,
